Country/Region,3/16/20
Afghanistan,1
Albania,0
Algeria,12
Andorra,1
Antigua and Barbuda,0
Argentina,1
Armenia,0
Aruba,0
Australia,23
Austria,6
Azerbaijan,6
Bahrain,77
Bangladesh,2
Belarus,3
Belgium,1
Benin,0
Bhutan,0
Bolivia,0
Bosnia and Herzegovina,0
Brazil,1
Brunei,0
Bulgaria,0
Burkina Faso,0
Cambodia,1
Cameroon,0
Canada,9
Central African Republic,0
Chile,0
China,67910
Colombia,0
Congo (Brazzaville),0
Congo (Kinshasa),0
Costa Rica,0
Cote d'Ivoire,0
Croatia,2
Cruise Ship,325
Cuba,0
Cyprus,0
Czechia,3
Denmark,1
Dominican Republic,0
Ecuador,0
Egypt,27
Equatorial Guinea,0
Estonia,1
Eswatini,0
Ethiopia,0
Finland,10
France,12
French Guiana,0
Gabon,0
Georgia,1
Germany,67
Ghana,0
Greece,8
Greenland,0
Guadeloupe,0
Guam,0
Guatemala,0
Guernsey,0
Guinea,0
Guyana,0
Holy See,0
Honduras,0
Hungary,1
Iceland,0
India,13
Indonesia,8
Iran,4590
Iraq,26
Ireland,0
Israel,4
Italy,2749
Jamaica,2
Japan,144
Jersey,0
Jordan,1
Kazakhstan,0
Kenya,0
"Korea, South",1137
Kosovo,0
Kuwait,9
Latvia,1
Lebanon,1
Liberia,0
Liechtenstein,0
Lithuania,1
Luxembourg,0
Malaysia,42
Maldives,0
Malta,2
Martinique,0
Mauritania,0
Mayotte,0
Mexico,4
Moldova,0
Monaco,0
Mongolia,0
Morocco,1
Namibia,0
Nepal,1
Netherlands,2
New Zealand,0
Nigeria,0
North Macedonia,1
Norway,1
Oman,9
Pakistan,2
Panama,0
Paraguay,0
Peru,0
Philippines,2
Poland,13
Portugal,3
Puerto Rico,0
Qatar,4
Republic of the Congo,0
Reunion,0
Romania,9
Russia,8
Rwanda,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,4
Saudi Arabia,2
Senegal,2
Serbia,1
Seychelles,0
Singapore,109
Slovakia,0
Slovenia,0
Somalia,0
South Africa,0
Spain,530
Sri Lanka,1
Sudan,0
Suriname,0
Sweden,1
Switzerland,4
Taiwan*,20
Tanzania,0
Thailand,35
The Bahamas,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
US,17
Ukraine,0
United Arab Emirates,23
United Kingdom,21
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,16
occupied Palestinian territory,0
