State,Total Claims,New Claims,Claims per 100K Residents,Claims as Percent of Labor Force,Population,Labor Force Feb 2020
Alabama,224553,106739,4579.737456367647,0.10006965343073226,4903185,2243967
Alaska,47346,14590,6472.055717693374,0.1370671236921794,731545,345422
Arkansas,118459,62086,3925.3377621608297,0.08663856216511931,3017804,1367278
Arizona,290548,132428,3991.7474466997414,0.0804160907463982,7278717,3613058
California,2667582,918814,6751.2830143725405,0.13668693755758737,39512223,19515998
Colorado,152525,46326,2648.584689417956,0.04786718390319421,5758736,3186421
Connecticut,132057,33464,3703.965487210426,0.06840587787983582,3565287,1930492
Delaware,56236,18851,5775.115941850387,0.11497688644815961,973764,489107
District of Columbia,52053,15329,7375.568367790815,0.1256287107206642,705749,414340
Florida,533249,169885,2482.79881628125,0.05100158891886662,21477737,10455537
Georgia,622167,390132,5859.868256167245,0.12066383758119592,10617423,5156201
Hawaii,124817,53101,8815.556773493649,0.18655214005048776,1415872,669073
Idaho,94838,30904,5306.913850363585,0.1063623619133068,1787065,891650
Illinois,610198,201041,4815.393146730845,0.09536069182517712,12671821,6398842
Indiana,360331,127010,5352.336280207165,0.1061034099756304,6732219,3396036
Iowa,194269,64194,6157.359424672036,0.11083579991373625,3155070,1752764
Kansas,148631,49306,5101.784428317716,0.09931861327745209,2913314,1496507
Kentucky,312896,117575,7003.556437545899,0.1501452766494478,4467673,2083955
Louisiana,291386,100621,6267.9912252511085,0.13810771023098367,4648794,2109846
Maine,86587,30910,6441.469053988508,0.12458130942240843,1344212,695024
Maryland,274706,109496,4543.839568088288,0.083739804436619,6045680,3280471
Massachusetts,543816,139647,7889.963921669675,0.14180660682523957,6892503,3834913
Michigan,907261,388554,9084.549823833464,0.18328493942326904,9986857,4950003
Minnesota,382644,110260,6784.910788505349,0.12259283833863194,5639632,3121259
Mississippi,94596,45852,3178.469895156459,0.07410430661365817,2976149,1276525
Missouri,291433,91458,4398.078525938256,0.09365463669714864,6626371,3111784
Montana,68603,21244,6418.825986313341,0.1276755322217735,1068778,537323
North Carolina,440105,137422,4196.238321508486,0.08604894743253075,10488084,5114589
North Dakota,39365,15125,5165.590201322202,0.0973191196902797,762062,404494
Nebraska,76033,27054,3930.556532024268,0.07293914047833065,1934408,1042417
New Hampshire,106423,39202,7826.883801043016,0.1365291877114366,1359711,779489
New Jersey,645525,214836,7267.633320160906,0.1414310559615866,8882190,4564238
New Mexico,81149,26132,3870.081918935688,0.08438008210392343,2096829,961708
Nevada,273797,79285,8889.062761756222,0.1755636790804415,3080156,1559531
New York,1011597,344451,4281.336622359893,0.10590692495776954,23628065,9551755
Ohio,783856,226191,6705.871281792439,0.1344738028989575,11689100,5829061
Oklahoma,150491,60534,3803.1868315436227,0.08159873685192225,3956971,1844281
Oregon,191740,62788,4546.039736474797,0.09106781213072272,4217737,2105464
Pennsylvania,1239242,277640,9680.07393226162,0.18896043111770303,12801989,6558209
Puerto Rico,149802,66555,5106.75637347413,0.14283303346424597,2933408,1048791
Rhode Island,105450,28243,9954.11384787622,0.18882553916898856,1059361,558452
South Carolina,216372,86573,4202.447446100133,0.09046291314060233,5148714,2391831
South Dakota,19554,8138,2210.3431943833725,0.041866141395109836,884659,467060
Tennessee,270401,112186,3959.4978836386367,0.08033516037708661,6829174,3365911
Texas,905647,315167,3123.364315090133,0.06377748166105239,28995881,14200106
Utah,95246,33040,2970.906044308753,0.058408188896029674,3205958,1630696
Vermont,41570,16474,6661.976413045743,0.12221186722211279,623989,340147
Virginia,337808,147369,3957.673809876119,0.0756955908250512,8535519,4462717
Washington,572556,171252,7518.897507817904,0.14448998132539242,7614893,3962600
West Virginia,47895,14494,2672.492825644325,0.05938498506541089,1792147,806517
Wisconsin,341084,104823,5858.099894305371,0.10970580033508316,5822434,3109079
Wyoming,22877,6543,3952.7679051211294,0.07776716421969386,578759,294173
Total,17850255,6211406,5315.164219642697,0.10800197791452212,335836378,165277112
